Date,Product_ID,Category,Sales_Volume,Is_Promotion,Is_Holiday,Event_Name,Stock_Level,Day_of_Week,Month,Prev_Day_Sales,Prev_Week_Sales,Rolling_Mean_7
2025-01-01,PROD_100,Electronics,307,0,1,New Year,220,2,1,0.0,0.0,0.0
2025-01-02,PROD_100,Electronics,145,0,0,None,666,3,1,307.0,0.0,0.0
2025-01-03,PROD_100,Electronics,131,0,0,None,863,4,1,145.0,0.0,0.0
2025-01-04,PROD_100,Electronics,210,1,0,None,543,5,1,131.0,0.0,0.0
2025-01-05,PROD_100,Electronics,197,0,0,None,452,6,1,210.0,0.0,0.0
2025-01-06,PROD_100,Electronics,167,0,0,None,760,0,1,197.0,0.0,0.0
2025-01-07,PROD_100,Electronics,146,0,0,None,899,1,1,167.0,0.0,186.14285714285714
2025-01-08,PROD_100,Electronics,150,0,0,None,389,2,1,146.0,307.0,163.71428571428572
2025-01-09,PROD_100,Electronics,137,0,0,None,443,3,1,150.0,145.0,162.57142857142858
2025-01-10,PROD_100,Electronics,166,0,0,None,330,4,1,137.0,131.0,167.57142857142858
2025-01-11,PROD_100,Electronics,169,0,0,None,764,5,1,166.0,210.0,161.71428571428572
2025-01-12,PROD_100,Electronics,182,0,0,None,566,6,1,169.0,197.0,159.57142857142858
2025-01-13,PROD_100,Electronics,163,0,0,None,234,0,1,182.0,167.0,159.0
2025-01-14,PROD_100,Electronics,155,0,0,None,761,1,1,163.0,146.0,160.28571428571428
2025-01-15,PROD_100,Electronics,154,0,0,None,305,2,1,155.0,150.0,160.85714285714286
2025-01-16,PROD_100,Electronics,132,0,0,None,676,3,1,154.0,137.0,160.14285714285714
2025-01-17,PROD_100,Electronics,154,0,0,None,470,4,1,132.0,166.0,158.42857142857142
2025-01-18,PROD_100,Electronics,187,0,0,None,451,5,1,154.0,169.0,161.0
2025-01-19,PROD_100,Electronics,200,0,0,None,252,6,1,187.0,182.0,163.57142857142858
2025-01-20,PROD_100,Electronics,158,0,0,None,416,0,1,200.0,163.0,162.85714285714286
2025-01-21,PROD_100,Electronics,140,0,0,None,214,1,1,158.0,155.0,160.71428571428572
2025-01-22,PROD_100,Electronics,153,0,0,None,720,2,1,140.0,154.0,160.57142857142858
2025-01-23,PROD_100,Electronics,157,0,0,None,874,3,1,153.0,132.0,164.14285714285714
2025-01-24,PROD_100,Electronics,160,0,0,None,578,4,1,157.0,154.0,165.0
2025-01-25,PROD_100,Electronics,182,0,0,None,400,5,1,160.0,187.0,164.28571428571428
2025-01-26,PROD_100,Electronics,181,0,0,None,232,6,1,182.0,200.0,161.57142857142858
2025-01-27,PROD_100,Electronics,140,0,0,None,298,0,1,181.0,158.0,159.0
2025-01-28,PROD_100,Electronics,140,0,0,None,925,1,1,140.0,140.0,159.0
