date,store_id,product_id,sales,promotion,holiday
2024-01-01,1,1,139,0,1
2024-01-01,1,2,79,0,1
2024-01-01,1,3,116,0,1
2024-01-01,1,4,80,0,1
2024-01-01,1,5,204,0,1
2024-01-01,1,6,204,0,1
2024-01-01,1,7,210,0,1
2024-01-01,1,8,110,0,1
2024-01-01,1,9,112,0,1
2024-01-01,1,10,178,0,1
2024-01-01,2,1,150,0,1
2024-01-01,2,2,95,0,1
2024-01-01,2,3,169,0,1
2024-01-01,2,4,142,0,1
2024-01-01,2,5,79,0,1
2024-01-01,2,6,180,0,1
2024-01-01,2,7,205,0,1
2024-01-01,2,8,190,0,1
2024-01-01,2,9,111,1,1
2024-01-01,2,10,110,0,1
2024-01-01,3,1,111,0,1
2024-01-01,3,2,191,0,1
2024-01-01,3,3,156,0,1
2024-01-01,3,4,170,0,1
2024-01-01,3,5,167,0,1
2024-01-01,3,6,86,0,1
2024-01-01,3,7,112,0,1
2024-01-01,3,8,190,0,1
2024-01-01,3,9,166,0,1
2024-01-01,3,10,136,0,1
2024-01-01,4,1,193,0,1
2024-01-01,4,2,207,0,1
2024-01-01,4,3,194,0,1
2024-01-01,4,4,84,0,1
2024-01-01,4,5,201,0,1
2024-01-01,4,6,191,0,1
2024-01-01,4,7,189,0,1
2024-01-01,4,8,163,0,1
2024-01-01,4,9,121,0,1
2024-01-01,4,10,74,0,1
2024-01-01,5,1,106,0,1
2024-01-01,5,2,201,0,1
2024-01-01,5,3,180,0,1
2024-01-01,5,4,277,1,1
2024-01-01,5,5,319,1,1
2024-01-01,5,6,200,0,1
2024-01-01,5,7,200,0,1
2024-01-01,5,8,204,0,1
2024-01-01,5,9,209,0,1
2024-01-01,5,10,114,0,1
2024-01-02,1,1,123,0,0
2024-01-02,1,2,79,1,0
2024-01-02,1,3,106,0,0
2024-01-02,1,4,60,0,0
2024-01-02,1,5,136,0,0
2024-01-02,1,6,207,0,1
2024-01-02,1,7,130,0,0
2024-01-02,1,8,81,0,0
2024-01-02,1,9,79,0,0
2024-01-02,1,10,112,0,0
2024-01-02,2,1,97,0,0
2024-01-02,2,2,72,0,0
2024-01-02,2,3,117,0,0
2024-01-02,2,4,91,0,0
2024-01-02,2,5,56,0,0
2024-01-02,2,6,101,0,0
2024-01-02,2,7,151,0,0
2024-01-02,2,8,110,0,0
2024-01-02,2,9,48,0,0
2024-01-02,2,10,76,0,0
2024-01-02,3,1,61,0,0
2024-01-02,3,2,120,0,0
2024-01-02,3,3,120,0,0
2024-01-02,3,4,108,0,0
2024-01-02,3,5,107,0,0
2024-01-02,3,6,48,0,0
2024-01-02,3,7,123,1,0
2024-01-02,3,8,110,0,0
2024-01-02,3,9,121,0,0
2024-01-02,3,10,149,1,0
2024-01-02,4,1,217,1,0
2024-01-02,4,2,125,0,0
2024-01-02,4,3,128,0,0
2024-01-02,4,4,86,1,0
2024-01-02,4,5,118,0,0
2024-01-02,4,6,149,0,0
2024-01-02,4,7,138,0,0
2024-01-02,4,8,107,0,0
2024-01-02,4,9,72,0,0
2024-01-02,4,10,54,0,0
2024-01-02,5,1,83,0,0
2024-01-02,5,2,154,0,0
2024-01-02,5,3,119,0,0
2024-01-02,5,4,171,1,0
2024-01-02,5,5,127,0,0
2024-01-02,5,6,247,1,0
2024-01-02,5,7,138,0,0
2024-01-02,5,8,126,0,0
2024-01-02,5,9,161,0,0
2024-01-02,5,10,89,0,0
2024-01-03,1,1,165,1,0
2024-01-03,1,2,52,0,0
2024-01-03,1,3,130,1,0
2024-01-03,1,4,81,1,0
2024-01-03,1,5,161,0,0
2024-01-03,1,6,156,0,0
2024-01-03,1,7,132,0,0
2024-01-03,1,8,75,0,0
2024-01-03,1,9,72,0,0
2024-01-03,1,10,198,1,0
2024-01-03,2,1,141,0,1
2024-01-03,2,2,67,0,0
2024-01-03,2,3,122,0,0
2024-01-03,2,4,89,0,0
2024-01-03,2,5,53,0,0
2024-01-03,2,6,197,1,0
2024-01-03,2,7,139,0,0
2024-01-03,2,8,107,0,0
2024-01-03,2,9,70,1,0
2024-01-03,2,10,73,0,0
2024-01-03,3,1,64,0,0
2024-01-03,3,2,101,0,0
2024-01-03,3,3,123,0,0
2024-01-03,3,4,115,0,0
2024-01-03,3,5,119,0,0
2024-01-03,3,6,55,0,0
2024-01-03,3,7,68,0,0
2024-01-03,3,8,112,0,0
2024-01-03,3,9,177,1,0
2024-01-03,3,10,96,0,0
2024-01-03,4,1,126,0,0
2024-01-03,4,2,161,1,0
2024-01-03,4,3,137,0,0
2024-01-03,4,4,51,0,0
2024-01-03,4,5,128,0,0
2024-01-03,4,6,134,0,0
2024-01-03,4,7,217,1,0
2024-01-03,4,8,149,1,0
2024-01-03,4,9,84,0,0
2024-01-03,4,10,56,0,0
2024-01-03,5,1,57,0,0
2024-01-03,5,2,163,0,0
2024-01-03,5,3,259,1,0
2024-01-03,5,4,104,0,0
2024-01-03,5,5,155,0,0
2024-01-03,5,6,141,0,0
2024-01-03,5,7,107,0,0
2024-01-03,5,8,127,0,0
2024-01-03,5,9,196,1,0
2024-01-03,5,10,75,0,0
2024-01-04,1,1,180,1,0
2024-01-04,1,2,75,0,1
2024-01-04,1,3,106,0,1
2024-01-04,1,4,54,0,0
2024-01-04,1,5,149,0,0
2024-01-04,1,6,129,0,0
2024-01-04,1,7,153,0,0
2024-01-04,1,8,62,0,0
